"",""
"Action","Action"
"Add Connect","Add Connect"
"An error occurred while updating the connects.","An error occurred while updating the connects."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Connect was saved","Connect was saved"
"Connect was successfully deleted.","Connect was successfully deleted."
"Connect was successfully saved","Connect was successfully saved"
"Connect","Connect"
"Connects","Connects"
"Could not find connect to delete.","Could not find connect to delete."
"Created at","Created at"
"Delete Connect","Delete Connect"
"Delete","Delete"
"Disabled","Disabled"
"Edit Connect '%s'","Edit Connect '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving connect","Error saving connect"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select connects to delete.","Please select connects to delete."
"Please select connects.","Please select connects."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Connect","Save Connect"
"Status","Status"
"Store views","Store views"
"The connects has been deleted.","The connects has been deleted."
"There was a problem saving the connect.","There was a problem saving the connect."
"There was an error deleting connect.","There was an error deleting connect."
"There was an error deleting connects.","There was an error deleting connects."
"There was an error updating connects.","There was an error updating connects."
"This connect no longer exists.","This connect no longer exists."
"Total of %d connects were successfully deleted.","Total of %d connects were successfully deleted."
"Total of %d connects were successfully updated.","Total of %d connects were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find connect to save.","Unable to find connect to save."
"Updated at","Updated at"
"User Name","User Name"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"